コード,名称
150321610,三尖弁閉鎖症手術（フォンタン手術）
150321910,単心室症手術（フォンタン手術）
150146710,単心室症手術（心室中隔造成術）
150321710,三尖弁閉鎖症手術（心室中隔造成術）
150376770,人工血管等再置換術加算（単心室症又は三尖弁閉鎖症手術）
150293010,左心低形成症候群手術（ノルウッド手術）
150145510,冠動静脈瘻開胸的遮断術
150145410,冠動脈起始異常症手術
150322010,心室憩室切除術
150322110,心臓脱手術
150144310,肺動脈塞栓除去術
150346610,肺動脈血栓内膜摘除術
150144810,肺静脈血栓除去術
150253810,不整脈手術（副伝導路切断術）
150253910,不整脈手術（心室頻拍症手術）
150275610,不整脈手術（メイズ手術）
150410850,不整脈手術（左心耳閉鎖術）（経カテーテル的手術）
150415010,不整脈手術（左心耳閉鎖術）（開胸手術）
150400510,肺静脈隔離術
150346710,経皮的カテーテル心筋焼灼術（心房中隔穿刺、心外膜アプローチ）
150262810,経皮的カテーテル心筋焼灼術（その他）
150346870,三次元カラーマッピング加算
150370050,磁気ナビゲーション加算
150303310,経皮的中隔心筋焼灼術
150140110,ペースメーカー移植術（心筋電極）
150140210,ペースメーカー移植術（経静脈電極）
150395350,ペースメーカー移植術（リードレスペースメーカー）
150140410,ペースメーカー交換術
150346910,植込型心電図記録計移植術
150347010,植込型心電図記録計摘出術
150415110,両心室ペースメーカー移植術（心筋電極）
150415210,両心室ペースメーカー移植術（経静脈電極）
150415310,両心室ペースメーカー交換術（心筋電極）
150415410,両心室ペースメーカー交換術（経静脈電極）
150415510,植込型除細動器移植術（心筋リード）
150387410,植込型除細動器移植術（経静脈リード）
150383250,植込型除細動器移植術（皮下植込型リード）
150415610,植込型除細動器交換術（心筋リード）
150415710,植込型除細動器交換術（その他）
150415810,両室ペーシング機能付き植込型除細動器移植術（心筋電極）
150415910,両室ペーシング機能付き植込型除細動器移植術（経静脈電極）
150416010,両室ペーシング機能付き植込型除細動器交換術（心筋電極）
150416110,両室ペーシング機能付き植込型除細動器交換術（経静脈電極）
150387510,経静脈電極抜去術（レーザーシースを用いる）
150387610,経静脈電極抜去術（レーザーシースを用いない）
150147610,人工心肺（初日）
150262910,経皮的心肺補助法（初日）
150395450,経皮的循環補助法（ポンプカテーテルを使用）（初日）
150266110,補助人工心臓（初日）
150382650,小児補助人工心臓（初日）
150360110,植込型補助人工心臓（非拍動流型）（初日）
150322310,移植用心採取術
150322410,同種心移植術
150322510,移植用心肺採取術
150322610,同種心肺移植術
150387710,骨格筋由来細胞シート心表面移植術
150155410,リンパ管腫摘出術（長径５ｃｍ未満）
150155510,リンパ管腫摘出術（長径５ｃｍ以上）
150155610,リンパ節摘出術（長径３ｃｍ未満）
150155710,リンパ節摘出術（長径３ｃｍ以上）
150293110,リンパ節膿瘍切開術
150156210,リンパ節群郭清術（顎下部又は舌下部）（浅在性）
150156410,リンパ節群郭清術（頸部）（深在性）
150156510,リンパ節群郭清術（鎖骨上窩及び下窩）
150156610,リンパ節群郭清術（腋窩）
150156710,リンパ節群郭清術（胸骨旁）
150156810,リンパ節群郭清術（鼠径部及び股部）
150156910,リンパ節群郭清術（後腹膜）
150322810,リンパ節群郭清術（骨盤）
150416910,腹腔鏡下リンパ節群郭清術（後腹膜）
150417010,腹腔鏡下リンパ節群郭清術（傍大動脈）
150417110,腹腔鏡下リンパ節群郭清術（骨盤）
150377010,腹腔鏡下小切開骨盤内リンパ節群郭清術
150377110,腹腔鏡下小切開後腹膜リンパ節群郭清術
150157510,リンパ管吻合術
